,gender,age,married,number_of_dependents,city,number_of_referrals,tenure_in_months,offer,phone_service,avg_monthly_long_distance_charges,multiple_lines,internet_service,internet_type,avg_monthly_gb_download,online_security,online_backup,device_protection_plan,premium_tech_support,streaming_tv,streaming_movies,streaming_music,unlimited_data,contract,paperless_billing,payment_method,monthly_charge,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,customer_status
1914,Male,60,No,0,Bakersfield,0,3,Offer E,Yes,49.63,No,Yes,Fiber Optic,26.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,80.35,0.0,0,148.89,402.69,Joined
1915,Male,19,No,1,Mount Hamilton,0,71,no_offer,Yes,31.89,Yes,Yes,Fiber Optic,30.0,Yes,Yes,No,No,No,No,No,Yes,One Year,Yes,Credit Card,85.45,0.0,0,2264.19,8293.14,Stayed
1916,Female,63,No,0,Los Angeles,0,9,Offer E,Yes,34.79,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Month-to-Month,No,Bank Withdrawal,20.15,0.0,0,313.11,551.26,Stayed
1917,Female,49,No,0,Fremont,0,1,no_offer,Yes,43.06,No,Yes,Fiber Optic,9.0,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,83.4,0.0,0,43.06,126.46,Joined
1918,Male,28,No,0,San Gabriel,0,3,no_offer,Yes,37.01,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Month-to-Month,Yes,Bank Withdrawal,20.5,0.0,0,111.03,187.98,Joined
1919,Male,61,Yes,0,Rancho Cucamonga,1,53,no_offer,No,0.0,,Yes,DSL,13.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,60.45,0.0,0,0.0,3184.25,Churned
1920,Female,56,Yes,0,Palos Verdes Peninsula,1,46,no_offer,Yes,30.47,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Two Year,Yes,Credit Card,19.95,0.0,0,1401.62,2328.72,Stayed
1921,Male,30,Yes,2,Redding,9,63,Offer B,Yes,18.88,No,Yes,Fiber Optic,48.0,No,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Credit Card,80.3,0.0,40,1189.44,6125.79,Stayed
1922,Male,29,Yes,0,Los Banos,10,71,Offer A,Yes,31.97,Yes,Yes,Fiber Optic,73.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,108.55,0.0,0,2269.87,9885.87,Stayed
1923,Female,67,Yes,0,Bonsall,0,5,Offer E,Yes,9.56,No,Yes,Fiber Optic,13.0,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,69.35,0.0,0,47.8,389.4,Stayed
1924,Female,25,Yes,3,Irvine,9,65,no_offer,Yes,34.03,Yes,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Two Year,Yes,Bank Withdrawal,25.3,0.0,0,2211.95,3960.5,Stayed
1925,Male,48,No,0,Riverside,0,42,no_offer,Yes,25.69,Yes,Yes,Fiber Optic,13.0,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.3,0.0,0,1078.98,5301.93,Stayed
1926,Female,48,No,0,Lebec,0,3,no_offer,Yes,12.5,No,Yes,Fiber Optic,4.0,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,74.75,38.84,0,37.5,236.76,Joined
1927,Male,28,No,0,Mt Baldy,0,24,no_offer,Yes,30.07,No,Yes,DSL,69.0,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,54.95,0.0,0,721.68,2070.18,Stayed
1928,Male,57,No,2,Ventura,0,66,no_offer,Yes,20.63,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Two Year,No,Credit Card,20.55,17.14,0,1361.58,2701.54,Stayed
1929,Female,42,No,0,Traver,0,25,Offer C,Yes,13.93,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Two Year,No,Credit Card,19.8,0.0,0,348.25,823.45,Stayed
1930,Female,45,Yes,0,San Diego,9,56,no_offer,Yes,20.53,Yes,Yes,Fiber Optic,19.0,No,Yes,Yes,Yes,No,Yes,Yes,Yes,One Year,Yes,Credit Card,99.75,0.0,0,1149.68,6758.08,Stayed
1931,Male,79,Yes,0,White Water,4,52,no_offer,Yes,29.15,Yes,Yes,Fiber Optic,9.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,105.1,0.0,0,1515.8,6892.2,Stayed
1932,Female,47,Yes,2,Los Angeles,4,23,no_offer,Yes,35.86,Yes,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Two Year,No,Mailed Check,25.1,0.0,0,824.78,1436.23,Stayed
1933,Female,56,Yes,0,Sequoia National Park,10,25,no_offer,Yes,3.6,Yes,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,One Year,Yes,Credit Card,26.8,0.0,0,90.0,823.55,Stayed
1934,Female,33,No,0,Camptonville,0,32,no_offer,Yes,41.53,Yes,Yes,Fiber Optic,28.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.35,0.0,0,1328.96,4663.86,Stayed
1935,Female,21,No,0,Los Angeles,0,16,no_offer,Yes,14.26,No,Yes,DSL,53.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,50.15,0.0,0,228.16,990.41,Churned
1936,Female,74,Yes,3,Live Oak,4,23,no_offer,Yes,2.03,No,Yes,Fiber Optic,53.0,No,Yes,Yes,No,No,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,88.45,0.0,0,46.69,2177.24,Stayed
1937,Male,22,No,0,Orick,0,26,Offer C,No,0.0,,Yes,Cable,82.0,Yes,No,No,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,54.55,0.0,0,0.0,1362.85,Stayed
1938,Female,56,Yes,0,Chilcoot,3,49,no_offer,Yes,22.1,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,One Year,Yes,Bank Withdrawal,20.05,0.0,0,1082.9,2006.0,Stayed
1939,Male,46,No,3,Hat Creek,0,1,no_offer,Yes,7.66,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Month-to-Month,No,Credit Card,20.05,0.0,0,7.66,27.71,Joined
1940,Male,68,No,0,Gasquet,0,5,no_offer,Yes,2.27,No,Yes,Fiber Optic,17.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,70.25,12.48,0,11.35,330.77,Churned
1941,Female,36,No,0,Sacramento,0,50,no_offer,Yes,12.62,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Two Year,No,Credit Card,19.4,0.0,0,631.0,1654.95,Stayed
1942,Male,52,No,0,Huntington Beach,0,13,Offer D,No,0.0,,Yes,DSL,17.0,Yes,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,45.55,0.0,0,0.0,597.0,Churned
1943,Female,64,Yes,1,Hayward,9,28,Offer C,Yes,21.91,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,One Year,No,Credit Card,19.9,0.0,0,613.48,1156.48,Stayed
1944,Female,25,No,1,Buena Park,0,49,no_offer,Yes,45.64,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,One Year,No,Credit Card,19.45,0.0,0,2236.36,3157.66,Stayed
1945,Female,51,No,0,Rancho Mirage,0,18,no_offer,Yes,7.42,Yes,Yes,Fiber Optic,12.0,No,No,Yes,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.05,38.65,0,133.56,1774.31,Stayed
1946,Female,26,Yes,1,Santa Cruz,8,72,Offer A,Yes,38.99,Yes,Yes,Cable,73.0,Yes,No,Yes,No,Yes,No,Yes,Yes,Two Year,Yes,Bank Withdrawal,71.45,0.0,0,2807.28,7833.13,Stayed
1947,Female,43,Yes,2,Bakersfield,0,37,no_offer,Yes,1.6,Yes,Yes,Fiber Optic,11.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.25,0.0,0,59.2,3373.35,Stayed
1948,Male,80,Yes,0,El Cerrito,10,7,Offer E,No,0.0,,Yes,DSL,13.0,Yes,No,No,No,No,No,No,Yes,One Year,No,Bank Withdrawal,29.8,11.83,0,0.0,208.62,Stayed
1949,Male,64,Yes,0,Sequoia National Park,4,45,Offer B,Yes,1.59,Yes,Yes,Fiber Optic,19.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,81.4,0.0,0,71.55,3847.4,Stayed
1950,Male,53,No,0,San Marino,0,19,no_offer,Yes,29.52,No,Yes,DSL,5.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.0,22.55,0,560.88,1404.18,Stayed
1951,Male,42,No,0,Fairfax,0,29,no_offer,Yes,46.12,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,One Year,Yes,Credit Card,19.8,0.0,0,1337.48,1909.68,Stayed
1952,Male,37,Yes,1,Jamestown,3,61,Offer B,Yes,43.08,No,Yes,Fiber Optic,19.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,103.9,0.0,0,2627.88,9077.03,Stayed
1953,Male,46,No,0,Altadena,0,4,Offer E,Yes,33.93,No,Yes,Cable,20.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,-8.0,0.0,0,135.72,335.47,Stayed
1954,Female,22,No,0,Los Angeles,0,38,Offer C,Yes,23.95,Yes,Yes,Fiber Optic,27.0,No,No,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,103.65,0.0,140,910.1,5038.6,Stayed
1955,Female,52,No,0,Kirkwood,0,2,Offer E,Yes,26.9,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Month-to-Month,No,Bank Withdrawal,19.9,0.0,0,53.8,111.2,Joined
1956,Male,23,No,0,Caspar,0,1,no_offer,Yes,48.03,No,Yes,Cable,73.0,No,No,No,No,No,No,Yes,Yes,Month-to-Month,No,Credit Card,45.05,0.0,0,48.03,93.08,Churned
1957,Female,60,No,0,Gerber,0,15,Offer D,No,0.0,,Yes,DSL,25.0,Yes,Yes,Yes,Yes,No,No,No,Yes,One Year,No,Credit Card,45.9,16.27,0,0.0,677.18,Stayed
1958,Male,30,No,0,Martinez,0,71,Offer A,Yes,49.42,Yes,Yes,Fiber Optic,53.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,108.05,0.0,0,3508.82,11040.97,Churned
1959,Male,40,Yes,0,Rough And Ready,1,52,no_offer,Yes,38.37,No,Yes,Fiber Optic,14.0,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,84.1,0.0,0,1995.24,6343.89,Churned
1960,Female,60,No,0,Rancho Mirage,0,2,Offer E,Yes,24.71,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Month-to-Month,No,Mailed Check,20.65,0.0,0,49.42,88.12,Churned
1961,Male,77,Yes,0,San Diego,1,24,Offer C,Yes,16.1,No,Yes,Cable,12.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.15,0.0,0,386.4,2617.45,Churned
1962,Male,39,No,0,San Diego,0,43,Offer B,Yes,19.66,Yes,Yes,Fiber Optic,28.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,75.35,0.0,0,845.38,4006.78,Stayed
1963,Male,27,No,0,Hopland,0,2,Offer E,Yes,29.69,No,Yes,Cable,52.0,No,No,No,No,No,No,Yes,No,Month-to-Month,No,Bank Withdrawal,46.05,0.0,10,59.38,149.73,Churned
1964,Male,21,No,0,San Diego,0,24,Offer C,Yes,3.72,No,Yes,Cable,59.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,49.7,0.0,0,89.28,1307.53,Stayed
1965,Male,78,Yes,0,Westport,0,41,no_offer,Yes,22.56,Yes,Yes,Fiber Optic,15.0,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,99.8,8.88,0,924.96,5175.38,Churned
1966,Female,49,Yes,0,Fallbrook,1,14,no_offer,Yes,29.18,Yes,Yes,Fiber Optic,19.0,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,87.25,0.0,0,408.52,1667.12,Churned
1967,Female,57,Yes,0,Sheridan,9,64,no_offer,Yes,23.29,No,Yes,DSL,25.0,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,68.3,0.0,0,1490.56,5869.36,Stayed
1968,Male,38,Yes,0,Torrance,1,72,Offer A,Yes,49.5,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Two Year,No,Credit Card,19.4,0.0,0,3564.0,4927.25,Stayed
1969,Female,29,No,0,Tahoe Vista,0,27,no_offer,Yes,1.31,No,Yes,Cable,53.0,No,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,56.15,0.0,0,35.37,1474.72,Stayed
1970,Male,79,No,0,Descanso,0,35,no_offer,Yes,3.04,No,Yes,DSL,18.0,No,No,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,73.0,0.0,0,106.4,2577.65,Stayed
1971,Male,20,No,1,Eureka,0,1,no_offer,Yes,41.39,No,Yes,Cable,48.0,No,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,59.55,0.0,0,41.39,100.94,Joined
1972,Female,62,No,0,Platina,0,1,Offer E,Yes,12.4,No,Yes,Fiber Optic,28.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,68.65,0.0,0,12.4,81.05,Churned
1973,Male,74,No,0,Santa Rosa,0,43,no_offer,Yes,39.12,No,Yes,Fiber Optic,6.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,89.55,0.0,0,1682.16,5538.91,Churned
1974,Female,69,Yes,0,Vallejo,1,53,no_offer,Yes,30.09,Yes,Yes,Fiber Optic,12.0,No,No,No,No,Yes,Yes,No,Yes,One Year,Yes,Credit Card,95.85,18.85,0,1594.77,6592.17,Stayed
1975,Female,50,No,0,Rio Oso,0,17,no_offer,Yes,24.31,Yes,Yes,DSL,21.0,No,No,Yes,No,No,No,No,Yes,One Year,Yes,Mailed Check,55.85,0.0,0,413.27,1350.77,Churned
1976,Female,67,No,0,Mc Kittrick,0,20,Offer D,Yes,29.29,Yes,Yes,Fiber Optic,15.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,85.8,0.0,0,585.8,2313.3,Churned
1977,Male,33,No,0,Loma Mar,0,6,no_offer,Yes,10.54,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,One Year,No,Credit Card,19.15,0.0,0,63.24,187.64,Stayed
1978,Male,47,No,3,San Leandro,0,1,no_offer,No,0.0,,Yes,Cable,21.0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,24.7,0.0,0,0.0,24.7,Joined
1979,Female,52,No,0,San Diego,0,61,no_offer,Yes,23.45,Yes,Yes,DSL,8.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,89.65,0.0,0,1430.45,6739.15,Stayed
1980,Female,74,No,0,Anaheim,0,4,no_offer,Yes,48.35,Yes,Yes,Cable,24.0,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.2,0.0,0,193.4,539.6,Churned
1981,Female,57,No,0,Dana Point,0,1,no_offer,Yes,40.63,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Month-to-Month,No,Credit Card,19.55,0.0,0,40.63,60.18,Joined
1982,Male,24,No,0,Vernalis,0,1,no_offer,Yes,35.77,No,Yes,Fiber Optic,69.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,80.5,0.0,0,35.77,116.27,Churned
1983,Female,50,Yes,2,Escondido,1,68,Offer A,Yes,15.94,Yes,Yes,Fiber Optic,29.0,No,Yes,No,Yes,No,No,No,Yes,One Year,Yes,Bank Withdrawal,83.65,46.99,0,1083.92,6770.33,Stayed
1984,Male,49,No,0,Modesto,0,1,Offer E,Yes,19.98,No,Yes,Fiber Optic,5.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,79.25,0.0,0,19.98,99.23,Churned
1985,Female,54,No,0,San Diego,0,2,no_offer,Yes,5.32,Yes,Yes,Fiber Optic,20.0,No,No,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,80.6,0.0,0,10.64,166.44,Churned
1986,Female,41,No,0,Sutter Creek,0,45,Offer B,Yes,14.12,Yes,Yes,Fiber Optic,24.0,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,89.3,44.63,0,635.4,4607.62,Churned
1987,Female,64,Yes,0,Temecula,1,40,Offer B,Yes,2.03,Yes,Yes,Fiber Optic,19.0,No,No,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.85,0.0,0,81.2,3384.25,Churned
1988,Female,38,No,0,Herlong,0,34,no_offer,Yes,2.82,No,Yes,Fiber Optic,2.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,105.1,0.0,0,95.88,3730.68,Stayed
1989,Female,49,No,0,Cerritos,0,13,no_offer,Yes,29.21,Yes,Yes,Fiber Optic,22.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,85.95,0.0,0,379.73,1595.38,Stayed
1990,Female,64,No,0,Shaver Lake,0,1,Offer E,Yes,10.71,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Month-to-Month,Yes,Credit Card,20.25,0.0,0,10.71,30.96,Churned
1991,Female,36,Yes,1,Camp Nelson,6,35,no_offer,No,0.0,,Yes,DSL,30.0,No,No,No,Yes,Yes,No,No,Yes,One Year,No,Credit Card,40.9,0.0,0,0.0,1383.6,Stayed
1992,Male,63,Yes,2,Sacramento,7,35,no_offer,Yes,24.23,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,One Year,No,Bank Withdrawal,19.9,0.0,0,848.05,1514.05,Stayed
1993,Male,75,Yes,0,Temecula,5,72,no_offer,Yes,28.5,Yes,Yes,Fiber Optic,5.0,Yes,Yes,Yes,No,No,Yes,No,Yes,Two Year,Yes,Credit Card,102.65,0.0,0,2052.0,9602.3,Stayed
1994,Male,69,Yes,0,Van Nuys,1,2,Offer E,Yes,7.29,No,Yes,Fiber Optic,14.0,No,No,Yes,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,74.2,0.0,0,14.58,154.68,Joined
1995,Female,27,No,0,San Carlos,0,12,no_offer,Yes,35.81,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Month-to-Month,No,Bank Withdrawal,19.45,0.0,0,429.72,657.17,Stayed
1996,Male,64,Yes,0,Willows,4,69,Offer A,Yes,44.33,No,Yes,Cable,18.0,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,75.75,0.0,0,3058.77,8446.92,Stayed
1997,Male,68,No,0,Compton,0,57,no_offer,Yes,32.12,Yes,Yes,Fiber Optic,15.0,No,Yes,No,Yes,Yes,Yes,No,No,Two Year,Yes,Bank Withdrawal,104.9,1.69,90,1830.84,7833.1,Stayed
1998,Female,61,Yes,0,Morro Bay,4,35,Offer C,Yes,10.43,No,Yes,Fiber Optic,4.0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,70.3,0.0,80,365.05,2861.6,Churned
1999,Male,47,Yes,3,Tecate,9,69,no_offer,Yes,26.35,Yes,Yes,DSL,53.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,86.9,0.0,0,1818.15,8012.25,Stayed
2000,Female,50,Yes,0,Big Bend,1,63,no_offer,Yes,1.93,Yes,Yes,Fiber Optic,21.0,No,Yes,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,107.5,0.0,60,121.59,7055.34,Churned
2001,Female,58,No,3,Stinson Beach,0,41,no_offer,Yes,38.94,No,Yes,DSL,28.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,45.2,0.0,0,1596.54,3438.44,Stayed
2002,Female,47,Yes,3,Palmdale,5,47,no_offer,Yes,3.95,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Two Year,Yes,Bank Withdrawal,21.3,0.0,0,185.65,1227.45,Stayed
2003,Male,31,Yes,0,Mckinleyville,1,72,no_offer,Yes,34.87,Yes,Yes,Fiber Optic,8.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,117.8,0.0,0,2510.64,11195.44,Churned
2004,Female,26,No,0,Salyer,0,59,Offer B,Yes,1.94,Yes,Yes,DSL,73.0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,One Year,No,Credit Card,79.85,0.0,0,114.46,4900.56,Stayed
2005,Female,20,Yes,3,San Juan Capistrano,5,18,no_offer,Yes,20.0,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Two Year,No,Credit Card,19.35,0.0,0,360.0,669.25,Stayed
2006,Female,19,Yes,0,San Diego,1,25,Offer C,No,0.0,,Yes,Cable,82.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,34.0,0.0,0,0.0,853.0,Churned
2007,Male,46,Yes,0,Guadalupe,5,40,Offer B,Yes,12.97,No,Yes,Fiber Optic,24.0,No,Yes,Yes,No,No,No,No,Yes,One Year,No,Bank Withdrawal,80.8,0.0,0,518.8,3651.55,Stayed
2008,Male,31,No,0,Winterhaven,0,2,no_offer,Yes,11.19,No,Yes,Fiber Optic,14.0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,69.8,0.0,10,22.38,179.03,Joined
2009,Female,30,Yes,0,Santa Ana,1,21,no_offer,No,0.0,,Yes,Cable,69.0,Yes,No,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,55.95,0.0,10,0.0,1167.05,Churned
2010,Male,36,Yes,1,Ranchita,10,68,Offer A,Yes,34.62,Yes,Yes,Fiber Optic,18.0,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,101.05,0.0,0,2354.16,9124.66,Stayed
2011,Female,73,Yes,0,Vista,2,70,Offer A,Yes,15.9,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Two Year,Yes,Credit Card,19.55,0.0,0,1113.0,2575.05,Stayed
2012,Male,48,Yes,2,Hemet,1,1,no_offer,Yes,41.1,No,Yes,DSL,18.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,44.55,0.0,0,41.1,85.65,Joined
2013,Female,24,Yes,0,Potrero,8,72,Offer A,Yes,16.15,Yes,Yes,Fiber Optic,52.0,Yes,Yes,No,No,No,No,Yes,Yes,Two Year,Yes,Bank Withdrawal,84.05,0.0,0,1162.8,7215.05,Stayed
2014,Female,61,Yes,0,Moss Beach,9,2,no_offer,Yes,7.49,No,Yes,Fiber Optic,14.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,70.4,0.0,0,14.98,169.78,Joined
2015,Female,21,Yes,0,Duarte,7,11,no_offer,Yes,1.92,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,One Year,No,Credit Card,20.6,0.0,0,21.12,255.02,Stayed
2016,Female,40,Yes,2,Fullerton,9,56,no_offer,Yes,29.06,Yes,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Two Year,Yes,Credit Card,24.95,0.0,0,1627.36,3096.26,Stayed
2017,Female,41,No,0,Pleasanton,0,36,Offer C,No,0.0,,Yes,Cable,2.0,No,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,34.85,0.0,0,0.0,1267.2,Stayed
2018,Male,42,No,0,Stirling City,0,37,no_offer,Yes,44.52,Yes,Yes,DSL,6.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,90.6,8.96,0,1647.24,4996.93,Stayed
2019,Female,50,Yes,0,Santa Monica,3,39,no_offer,No,0.0,,Yes,DSL,13.0,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,55.9,0.0,0,0.0,2184.35,Churned
2020,Male,29,No,3,Fontana,0,18,Offer D,Yes,41.08,Yes,Yes,Fiber Optic,48.0,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,80.55,0.0,0,739.44,2146.09,Stayed
2021,Male,29,No,0,Reseda,0,19,no_offer,Yes,11.42,Yes,Yes,Fiber Optic,41.0,Yes,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.75,49.38,0,216.98,1819.55,Stayed
2022,Female,36,No,0,Downieville,0,4,no_offer,Yes,24.09,No,Yes,Fiber Optic,17.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.65,0.0,0,96.36,429.96,Churned
2023,Male,46,Yes,1,Lebec,10,1,no_offer,Yes,11.45,No,Yes,Fiber Optic,14.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,69.95,0.0,0,11.45,81.4,Joined
